time_iso,lat,lon,delta_t_s,alt_ft,gs_kt,heading_deg
2023-01-04 17:52:11,51.674021,7.101125,0,10966.7,,
2023-01-04 17:52:15,51.680517,7.110458,4,10946.9,470.2,41.7
2023-01-04 17:52:19,51.687007,7.119879,4,10920.6,471.8,42.0
2023-01-04 17:52:23,51.693491,7.129374,4,10889.6,473.2,42.2
2023-01-04 17:52:27,51.699976,7.138936,4,10855.7,474.7,42.4
2023-01-04 17:52:31,51.706469,7.148552,4,10820.8,476.2,42.5
2023-01-04 17:52:35,51.712969,7.158211,4,10786.6,477.5,42.6
2023-01-04 17:52:39,51.719485,7.167906,4,10755.0,478.9,42.7
2023-01-04 17:52:43,51.726016,7.177623,4,10727.1,480.0,42.7
2023-01-04 17:52:47,51.732570,7.187369,4,10702.0,481.5,42.6
2023-01-04 17:52:51,51.739145,7.197146,4,10678.5,483.0,42.6
2023-01-04 17:52:55,51.745744,7.206957,4,10655.3,484.7,42.6
2023-01-04 17:52:59,51.752370,7.216809,4,10631.2,486.6,42.6
2023-01-04 17:53:03,51.759021,7.226705,4,10604.9,488.6,42.6
2023-01-04 17:53:07,51.765703,7.236646,4,10575.2,490.8,42.6
2023-01-04 17:53:11,51.772415,7.246639,4,10540.7,493.2,42.7
2023-01-04 17:53:15,51.779155,7.256684,4,10500.8,495.4,42.7
2023-01-04 17:53:19,51.785922,7.266770,4,10455.4,497.4,42.7
2023-01-04 17:53:23,51.792706,7.276892,4,10404.3,498.9,42.7
2023-01-04 17:53:27,51.799504,7.287045,4,10347.4,500.1,42.7
2023-01-04 17:53:31,51.806313,7.297222,4,10284.7,501.0,42.7
2023-01-04 17:53:35,51.813123,7.307417,4,10215.9,501.4,42.8
2023-01-04 17:53:39,51.819934,7.317620,4,10141.0,501.6,42.8
2023-01-04 17:53:43,51.826738,7.327831,4,10060.1,501.5,42.8
2023-01-04 17:53:47,51.833540,7.338054,4,9975.3,501.6,42.9
2023-01-04 17:53:51,51.840344,7.348298,4,9888.8,502.2,42.9
2023-01-04 17:53:55,51.847155,7.358570,4,9803.1,503.0,43.0
2023-01-04 17:53:59,51.853979,7.368884,4,9720.5,504.5,43.0
2023-01-04 17:54:03,51.860818,7.379244,4,9643.3,506.1,43.1
2023-01-04 17:54:07,51.867678,7.389662,4,9574.0,508.2,43.2
2023-01-04 17:54:11,51.874565,7.400144,4,9514.8,510.7,43.2
2023-01-04 17:54:15,51.881473,7.410686,4,9466.6,512.8,43.3
2023-01-04 17:54:19,51.888388,7.421259,4,9427.7,513.8,43.3
2023-01-04 17:54:23,51.895295,7.431835,4,9396.7,513.5,43.4
2023-01-04 17:54:27,51.902180,7.442385,4,9371.9,512.0,43.4
2023-01-04 17:54:31,51.909026,7.452879,4,9351.6,509.2,43.4
2023-01-04 17:54:35,51.915819,7.463289,4,9334.4,505.1,43.4
2023-01-04 17:54:39,51.922542,7.473587,4,9318.6,499.8,43.4
2023-01-04 17:54:43,51.929185,7.483748,4,9302.7,493.5,43.3
2023-01-04 17:54:47,51.935749,7.493775,4,9285.9,487.3,43.3
2023-01-04 17:54:51,51.942244,7.503683,4,9267.9,481.8,43.2
2023-01-04 17:54:55,51.948684,7.513490,4,9248.2,477.3,43.2
2023-01-04 17:54:59,51.955071,7.523209,4,9226.2,473.2,43.2
2023-01-04 17:55:03,51.961421,7.532854,4,9201.7,470.0,43.1
2023-01-04 17:55:07,51.967739,7.542444,4,9174.1,467.5,43.1
2023-01-04 17:55:11,51.974038,7.551990,4,9143.0,465.6,43.0
2023-01-04 17:55:15,51.980325,7.561509,4,9108.2,464.5,43.0
2023-01-04 17:55:19,51.986603,7.571004,4,9069.9,463.6,43.0
2023-01-04 17:55:23,51.992877,7.580477,4,9028.1,462.9,42.9
2023-01-04 17:55:27,51.999150,7.589935,4,8983.2,462.5,42.9
2023-01-04 17:55:31,52.005426,7.599384,4,8935.2,462.4,42.8
2023-01-04 17:55:35,52.011710,7.608830,4,8884.4,462.6,42.8
2023-01-04 17:55:39,52.018006,7.618273,4,8831.0,463.0,42.7
2023-01-04 17:55:43,52.024315,7.627722,4,8775.1,463.6,42.7
2023-01-04 17:55:47,52.030637,7.637177,4,8717.2,464.3,42.6
2023-01-04 17:55:51,52.036970,7.646639,4,8657.8,464.8,42.6
2023-01-04 17:55:55,52.043310,7.656110,4,8597.5,465.2,42.6
2023-01-04 17:55:59,52.049650,7.665587,4,8536.7,465.4,42.6
2023-01-04 17:56:03,52.055989,7.675071,4,8476.1,465.5,42.6
2023-01-04 17:56:07,52.062324,7.684567,4,8416.1,465.5,42.7
2023-01-04 17:56:11,52.068650,7.694069,4,8357.2,465.3,42.7
2023-01-04 17:56:15,52.074965,7.703581,4,8300.0,465.0,42.8
2023-01-04 17:56:19,52.081266,7.713094,4,8245.1,464.5,42.9
2023-01-04 17:56:23,52.087552,7.722602,4,8193.0,463.7,42.9
2023-01-04 17:56:27,52.093821,7.732097,4,8144.3,462.8,42.9
2023-01-04 17:56:31,52.100073,7.741575,4,8099.4,461.6,43.0
2023-01-04 17:56:35,52.106304,7.751027,4,8059.0,460.2,43.0
2023-01-04 17:56:39,52.112515,7.760446,4,8023.6,458.7,43.0
