lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.451107,6.35505,10676.3,5.0,400.0,68.13861
50.45781,6.381241,10676.3,5.0,400.0,68.13861
50.459675,6.393012,10679.338,3.870934,378.0022,69.82538
50.461796,6.408544,10683.473,3.80004,384.7805,73.895294
50.463314,6.422192,10688.701,4.7337,373.92297,69.44415
50.46502,6.4359193,10693.581,4.884332,376.59268,70.38086
50.466766,6.449861,10696.362,2.9017625,378.32605,73.30356
50.468307,6.46382,10699.292,5.359765,387.03552,74.84979
50.469296,6.476737,10702.192,3.684404,371.17624,72.45886
50.470318,6.491025,10705.592,4.139024,377.51465,76.79971
50.471283,6.503847,10706.837,3.776395,362.44284,78.67874
50.471878,6.517161,10709.339,3.7189941,371.67593,78.87103
50.472713,6.530993,10709.913,4.0769486,379.18253,78.87564
50.47376,6.5457773,10709.856,4.200324,374.2961,81.9801
50.474697,6.561547,10707.0625,4.416594,368.62277,80.02603
50.47546,6.575612,10704.697,3.9094853,378.12717,79.38324
50.475586,6.590859,10699.309,3.2314692,373.41052,78.59924
50.476288,6.6056933,10692.852,4.577425,378.28262,79.65558
50.4767,6.620526,10687.944,3.4679673,367.57193,79.93005
50.477875,6.634154,10683.447,3.591158,388.1547,79.51312
50.47842,6.648459,10685.924,4.9205365,380.0348,78.65622
50.479095,6.663084,10689.215,4.715641,379.20233,80.47208
50.4795,6.6785564,10699.214,3.8818488,365.67258,78.17151
50.479744,6.691948,10708.49,4.608815,384.40698,81.66705
50.480583,6.7047987,10722.547,4.3377357,378.85532,82.90402
50.48095,6.7186937,10737.987,4.5564847,392.43866,81.93988
50.48067,6.733831,10756.617,4.4562407,388.2438,83.95499
50.481083,6.7485666,10774.535,4.128415,380.01562,84.77777
50.4809,6.762088,10791.617,4.0928683,380.2018,87.03412
50.480797,6.777162,10805.838,4.267425,383.24014,87.045685
