lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.366505,6.367551,11883.9,5.0,400.0,65.06448
50.374092,6.393095,11883.9,5.0,400.0,65.06448
50.376682,6.4051538,11886.186,3.8742816,389.98087,63.53952
50.379417,6.4205203,11886.593,3.5051222,393.9008,71.66806
50.381664,6.435637,11887.018,5.281012,390.59036,69.64575
50.38431,6.4510674,11884.962,4.2076426,385.54813,69.67673
50.386612,6.4650087,11884.596,4.0263495,376.51144,67.67938
50.389053,6.481167,11881.957,4.1833043,377.7595,71.98273
50.391537,6.497523,11883.438,4.3496485,381.08713,71.58789
50.393375,6.5130234,11884.946,3.8231504,391.2165,68.250854
50.39588,6.528517,11888.814,4.3515973,387.14288,68.37509
50.39794,6.544149,11893.082,4.1011777,389.67706,68.63681
50.400234,6.558828,11898.519,5.319825,387.021,69.23978
50.40313,6.574044,11906.7705,3.2855155,379.69608,68.31537
50.405056,6.5910997,11913.432,4.917308,382.50687,67.49313
50.40752,6.606319,11919.556,4.777792,389.13367,67.173584
50.409245,6.622366,11923.003,4.1553397,376.19733,65.24448
50.4113,6.6370635,11923.914,4.723526,388.2218,70.73349
50.412827,6.6538916,11927.262,4.328542,378.58557,70.25351
50.414265,6.669309,11928.285,3.3960326,386.457,73.95328
50.4156,6.684847,11928.426,4.7466283,377.79773,75.12668
50.416794,6.6991796,11932.785,3.6326082,379.19196,77.66208
50.418407,6.7141376,11939.458,4.8308163,375.16183,76.86221
50.419937,6.729933,11946.078,4.0524073,373.60483,75.10959
50.421307,6.746413,11954.009,4.4076357,381.8994,74.81256
50.423077,6.762044,11963.088,5.258441,382.67,72.33374
50.425343,6.7782407,11973.441,4.00209,375.48282,73.936035
