lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.81286,7.251074,927.0,5.0,400.0,76.6806
50.817005,7.2787457,927.0,5.0,400.0,76.6806
50.818096,7.2919254,934.3762,4.36573,385.8997,84.858734
50.818623,7.3068676,940.5717,4.3780794,387.6716,83.379364
50.819454,7.320676,947.28235,5.5026503,380.31787,81.4415
50.820972,7.3344507,957.85596,3.0073624,387.19336,80.21597
50.822548,7.349703,970.99347,3.84966,383.44846,79.92557
50.823742,7.3654833,984.5813,3.943869,384.9776,76.92505
50.825195,7.380618,999.4414,4.0415726,381.5751,76.69617
50.826637,7.3953557,1014.8955,3.6521716,378.0893,76.48309
50.82774,7.4108,1030.9044,3.7861168,372.3515,76.555176
50.829624,7.425747,1046.5726,4.1140413,380.17007,77.382996
50.830704,7.4404535,1063.6648,3.9510865,375.25058,75.54291
50.832672,7.455152,1078.7922,5.930975,364.76746,73.232086
50.833973,7.4684486,1092.2876,3.7804947,373.8718,73.88571
50.83553,7.4822245,1104.426,3.0408282,389.05417,70.64734
50.837223,7.4942527,1116.737,4.579676,380.11835,70.998474
50.838894,7.509452,1127.141,3.4587388,384.3012,69.158264
50.84038,7.5227504,1137.2859,4.0529366,369.04037,69.05826
50.842377,7.5370007,1144.4729,3.5940042,377.55707,70.66928
50.844357,7.5504436,1154.9403,3.937058,382.65796,69.82474
50.846214,7.565147,1167.8792,3.6656737,378.3493,71.0173
50.84774,7.579573,1183.3424,4.356226,373.55887,68.84854
50.848946,7.592822,1201.2698,5.138154,375.8296,71.07861
50.85007,7.606477,1221.2339,4.579756,380.6376,70.42087
50.851578,7.62057,1246.4167,4.3299575,379.67703,71.24066
50.853092,7.635739,1272.6527,3.6632037,366.71063,70.945496
50.85459,7.6482472,1299.3824,5.1811943,381.486,71.29968
50.856064,7.6635814,1325.7058,4.372987,377.87338,74.06583
50.857563,7.6779943,1349.9302,3.5907426,386.04425,74.795654
50.858353,7.692882,1375.4287,4.0878057,382.48184,71.799805
50.859257,7.7077713,1401.1189,4.7198086,371.0411,77.732605
50.85971,7.7219706,1427.6368,4.6434755,367.1177,77.99301
50.860554,7.735699,1452.7521,3.7454865,378.9334,83.16339
50.861305,7.7499566,1483.7938,3.8680274,389.9534,84.60785
50.861843,7.7666802,1514.5637,4.501528,384.96744,81.758484
50.862778,7.780878,1550.8142,5.3419957,390.4482,83.311554
