lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.717426,7.365239,6546.3,5.0,400.0,68.56329
50.724003,7.391656,6546.3,5.0,400.0,68.56329
50.72607,7.403972,6550.3955,5.02234,379.797,66.81714
50.727882,7.41604,6558.198,5.096435,382.68988,72.44769
50.72977,7.427655,6565.777,4.330862,385.1685,69.93555
50.7308,7.438185,6577.34,3.8024266,389.8898,69.8367
50.732414,7.4504733,6593.403,4.666087,375.52008,72.01007
50.73436,7.4637046,6610.7466,4.1878076,370.49075,76.70816
50.735085,7.477257,6630.864,5.144836,375.47906,77.72226
50.73547,7.489225,6651.894,3.7044146,363.6631,79.47443
50.735725,7.5010557,6674.286,3.9948738,389.68488,84.78232
50.73634,7.5149064,6699.3535,4.8329506,371.31418,85.77106
50.736897,7.5273795,6721.152,4.256372,379.01846,88.69217
50.737217,7.5409803,6743.0376,4.1452646,372.5618,86.53137
