lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
51.67048,7.168494,977.3,5.0,400.0,129.02698
51.659145,7.1909933,977.3,5.0,400.0,129.02698
51.654377,7.199706,976.8373,3.5519767,383.55118,154.87701
51.649536,7.2090015,977.2127,3.837816,393.59378,146.2616
51.64465,7.2174683,979.6235,4.1115184,388.08124,146.25488
51.639973,7.2256966,985.89014,3.9215162,390.34094,149.0653
51.63488,7.2352533,992.5597,3.4630983,391.6023,144.4331
51.630325,7.2435284,1002.1579,3.5915976,374.83386,148.49124
51.62506,7.2515364,1013.0833,4.3351655,379.0601,147.20395
51.619873,7.259102,1025.0529,3.1817641,382.77115,148.2544
51.614788,7.2670717,1036.3813,3.3440785,381.27032,151.37766
51.61016,7.274555,1053.8724,4.686744,371.98663,150.63647
51.605614,7.281818,1069.6475,4.0213494,385.69522,148.80069
51.60103,7.290488,1086.2128,5.3343244,384.18277,144.91089
51.596386,7.2989616,1100.3713,3.1253076,386.8868,138.1336
51.59213,7.307916,1117.9448,3.7945013,374.83878,141.13821
51.58839,7.3177104,1132.7312,4.414421,378.84656,141.9447
51.584816,7.3270173,1145.2917,2.8682234,376.28278,135.64435
51.58095,7.3370576,1159.3684,3.0569372,382.33887,134.14346
51.57716,7.3471923,1169.9962,3.2476377,391.38562,137.18008
51.572506,7.3579726,1185.4404,3.754443,383.42484,131.62994
51.568436,7.367036,1197.3655,4.770126,384.0649,138.55975
51.564774,7.3774366,1211.49,4.656372,372.87546,139.00092
51.56182,7.386914,1224.377,4.0070314,372.9749,135.14636
51.55879,7.397294,1236.8094,4.4034843,378.1482,132.80823
51.555363,7.4092917,1248.2183,3.252315,378.37503,123.59122
51.55158,7.4217052,1259.4088,4.2969484,370.20905,123.083435
51.54865,7.4325914,1270.5444,4.3865657,384.57626,122.212036
51.545723,7.4447393,1284.466,3.8398535,380.36057,122.701904
51.54252,7.4560094,1298.63,4.794136,373.94464,124.802
51.539845,7.468546,1316.1553,4.454059,379.42636,118.43869
51.536682,7.480691,1336.7614,4.2742953,381.86444,114.49231
51.53411,7.4933205,1359.9854,3.5064225,384.7593,114.60501
51.53155,7.506649,1385.9001,3.5438344,376.88928,120.19214
51.529476,7.516978,1415.4766,4.2341423,378.0209,117.3194
51.52653,7.528153,1445.4221,3.9858787,374.2351,116.45215
51.5237,7.540101,1476.0476,3.3910563,378.89017,120.58786
51.52156,7.551049,1507.7938,4.4809046,362.72437,121.75473
51.518852,7.563481,1539.7251,4.2616935,378.1124,122.08392
51.51611,7.5756993,1570.6848,3.841742,366.1321,117.1582
51.514034,7.588267,1601.1392,3.126995,371.60693,118.97455
51.511463,7.5999875,1633.3517,4.691534,370.75754,116.53485
51.509686,7.61222,1663.8435,4.6215615,374.6978,112.13504
51.507687,7.6241713,1693.0657,5.026841,375.7673,112.28418
51.505882,7.635977,1722.149,3.4604516,375.10852,108.69528
51.504368,7.6480093,1751.7869,4.0440006,378.98013,111.2984
51.502388,7.659319,1781.642,4.869689,373.53485,113.0285
51.50082,7.6721745,1814.9705,4.053124,370.93216,115.177704
51.49892,7.685324,1847.8898,3.7814786,371.153,109.9588
51.496735,7.6988907,1886.2899,3.4195237,367.6934,108.42407
51.495556,7.7108455,1924.0938,3.53871,377.00592,109.743225
51.49381,7.7244496,1964.3816,3.5193295,372.2005,108.47714
51.49253,7.736117,2006.2759,5.2676554,381.638,106.34512
51.491173,7.748109,2047.2827,4.771852,381.66827,101.86377
51.489883,7.7600837,2087.1218,4.706541,377.06824,101.487915
51.487957,7.771675,2127.7104,4.419251,361.90298,105.519196
51.487236,7.783148,2167.2683,4.098447,365.7771,108.99017
51.485752,7.7940645,2205.0134,3.8286824,375.61493,108.98041
51.484783,7.805972,2245.2341,4.1599755,367.85147,108.651184
51.48393,7.816977,2284.932,3.519792,368.94568,106.7865
51.48278,7.827895,2326.9858,3.970683,373.84967,105.34805
51.48174,7.838537,2368.3215,4.226136,369.20465,102.02783
51.480736,7.850672,2412.316,4.3427854,375.2844,98.93616
51.480053,7.8626103,2457.2373,4.5140333,362.00568,96.40039
51.47979,7.8750987,2502.8286,4.2905126,377.06363,96.97302
51.479954,7.885358,2548.1677,3.643981,357.55396,91.94351
51.479942,7.8972487,2593.8433,4.1810174,365.28482,89.86273
51.48015,7.9090796,2639.4814,3.855482,377.30618,88.68414
51.480305,7.921605,2687.7732,4.1180234,368.80472,85.828125
51.480915,7.9349313,2736.6624,4.8731265,373.19913,86.59381
51.48112,7.9467688,2785.7698,3.543253,370.06693,87.48312
51.481407,7.958807,2835.956,3.8154252,370.00253,86.59384
51.481472,7.9712896,2884.9424,3.9448268,372.8594,89.866974
51.481,7.9831133,2934.0293,4.505685,371.50974,92.54028
51.480476,7.9956546,2981.0881,2.9760213,362.86172,95.03
51.47926,8.007902,3031.5032,3.654456,385.9777,99.65515
51.478188,8.018677,3080.5305,4.766947,360.32846,104.14496
51.47646,8.029398,3126.279,3.9865716,366.84006,108.91528
51.474895,8.039576,3170.4937,3.5511646,372.39655,115.01361
51.472195,8.04883,3213.6323,3.9321258,370.91776,112.44125
51.47012,8.058386,3251.5388,3.996728,381.1803,118.54672
51.467712,8.068023,3288.086,4.208078,377.89404,119.27075
51.465385,8.078138,3320.6326,4.2365885,382.19244,120.793365
51.462933,8.087235,3351.8337,4.446725,366.08957,120.4841
51.460682,8.097986,3378.567,3.4780674,367.8253,121.45364
51.458355,8.107934,3402.596,4.0961494,370.37567,120.02301
51.45641,8.117623,3422.575,3.736901,352.29465,121.83893
51.453926,8.128722,3442.9631,3.9936295,370.49802,119.71948
51.451786,8.139239,3463.1194,4.4893823,379.0524,121.0571
51.44974,8.1493,3483.663,2.4260626,386.1479,119.38205
51.446907,8.158925,3508.0818,3.4826944,379.2018,113.63553
51.44527,8.16995,3535.9646,3.3768663,374.54025,120.61853
51.44258,8.1802635,3569.0042,3.2976694,378.74243,119.80118
51.440346,8.19151,3603.693,4.403113,383.92966,120.96716
51.437496,8.203568,3640.6025,4.470114,382.37885,119.98639
51.435177,8.214078,3675.647,3.2150753,371.71072,118.61835
51.432907,8.224131,3714.3372,4.278265,374.29556,119.64929
