lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
51.25535,6.697839,919.2,5.0,400.0,102.73569
51.25138,6.7258368,919.2,5.0,400.0,102.73569
51.248707,6.7370844,923.7912,5.321214,396.9013,119.40915
51.245876,6.75135,927.98236,5.0414166,384.76495,117.39618
51.24329,6.7636995,934.9263,5.645661,384.73593,119.17151
51.241085,6.775357,940.6576,5.447074,384.68268,121.085144
51.238976,6.787166,950.0197,3.2334852,377.7414,121.66522
51.236107,6.8006268,961.9025,4.8157816,383.1139,118.000854
51.233418,6.8129063,975.2324,4.7964277,382.90726,118.986084
51.23097,6.8254347,989.73645,3.9627876,372.72668,113.56647
51.22904,6.8381367,1005.20776,4.440205,381.70065,118.00305
51.227196,6.8507752,1021.3601,4.310999,375.13248,110.670685
51.225025,6.8645043,1036.9,3.3831973,365.9209,111.68817
51.22317,6.877216,1053.2563,4.5010214,367.09665,111.74072
51.22175,6.8898983,1070.9344,3.8713763,376.42108,110.887115
51.21983,6.9029655,1087.4604,4.245546,370.23624,106.49176
51.21839,6.915976,1104.4471,4.0374765,368.41714,105.29224
51.216534,6.9289746,1118.4027,3.1088305,380.44882,102.84033
51.21507,6.9411626,1135.3888,3.3589287,377.07907,103.73303
51.213146,6.95549,1153.2383,4.3141694,374.0758,102.2919
51.211594,6.968877,1171.8203,2.819296,388.59894,101.68973
51.209587,6.985548,1191.9485,4.858226,379.45258,101.75372
51.20851,6.999802,1213.0862,3.7225113,379.18686,105.148315
51.207325,7.01458,1234.18,3.3370278,377.71542,100.242035
51.20628,7.0299587,1254.0256,4.0825853,381.32843,99.35333
51.205112,7.044983,1279.1398,4.0252633,374.82104,94.791626
51.204865,7.059439,1299.845,4.1848626,376.70187,95.56067
51.20474,7.0756655,1320.374,4.886552,373.73776,92.47684
51.204735,7.0908885,1343.8556,4.0753536,376.80884,89.322174
51.204872,7.106648,1368.9141,3.34013,374.00055,87.18271
51.205563,7.1213408,1397.4575,4.2480674,375.281,87.70206
51.20511,7.135397,1430.0787,4.213506,377.73026,88.99347
51.205486,7.1503763,1464.4252,4.0124187,386.76077,86.620514
51.2053,7.164279,1503.5034,4.3736467,374.63272,88.733765
51.2052,7.1778684,1545.375,4.3020988,368.33154,88.50345
51.20492,7.1909127,1591.7676,4.054943,369.23407,88.48889
51.204807,7.203552,1642.1218,3.7115927,371.94806,89.791016
51.204674,7.216424,1699.5479,3.7729223,373.49887,90.67349
51.20416,7.2305098,1759.2452,5.028104,373.53,90.82687
51.20441,7.2457747,1813.1082,3.850315,359.5785,91.381836
51.204315,7.2584853,1867.2788,3.9683974,376.04654,90.206696
51.204556,7.2722945,1916.5703,4.8638287,370.828,91.00217
51.204037,7.28414,1960.2483,3.2975705,372.26303,89.72656
51.20387,7.2971163,1999.0317,3.354429,372.87305,91.09015
51.203484,7.3100405,2037.9507,2.9705148,366.44293,93.65018
51.203396,7.323047,2073.5176,3.5214655,366.43457,93.73563
51.20307,7.3369637,2108.3027,3.5883274,375.80396,97.57709
51.202408,7.348854,2141.125,3.6903193,381.6516,93.66266
51.201572,7.3615236,2176.2202,4.780269,366.58923,93.81122
51.20067,7.3741674,2209.2104,3.5213976,368.0689,92.91928
51.200092,7.3866568,2246.0583,4.137729,367.8549,96.659485
51.200043,7.3977895,2284.1946,5.091307,377.1021,94.52399
51.199635,7.410757,2321.1565,4.03039,368.68338,89.62933
