lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
52.197357,6.967699,11277.5,5.0,400.0,141.84216
52.183205,6.9858027,11277.5,5.0,400.0,141.84216
52.17735,6.992136,11278.872,3.975982,388.1215,154.54578
52.172462,6.996794,11284.218,4.0968676,398.14325,160.28247
52.166878,7.0026517,11288.321,2.9958532,387.3955,161.13312
52.160934,7.0100803,11292.662,3.9442077,410.88547,165.17444
52.15532,7.015073,11295.756,3.8322685,407.64374,164.30115
52.14917,7.0214972,11298.881,3.0801024,390.3423,165.39124
52.143158,7.026692,11300.945,3.2071633,397.53806,165.87885
52.137257,7.0316567,11302.579,2.7069664,395.5082,163.86755
52.131058,7.0370145,11306.503,4.6459494,387.82516,161.36249
52.125095,7.043069,11311.215,3.2765841,385.59665,164.63354
52.118942,7.0481634,11317.213,3.537732,379.51843,166.36023
52.113483,7.0533605,11324.43,3.7522368,379.6443,162.58942
52.108204,7.0598693,11332.04,3.5245163,362.71524,162.41034
52.103092,7.065726,11340.636,4.1799726,387.96436,156.79602
52.097656,7.072868,11348.884,3.205821,381.53873,162.10974
52.092506,7.078666,11353.089,2.861576,372.82666,155.44714
52.087185,7.084569,11356.226,4.3387523,382.23163,157.71716
52.08229,7.0904107,11355.209,4.0156455,379.6153,156.46716
52.076885,7.095731,11351.431,3.7096982,385.91852,151.78082
52.07185,7.1019626,11345.81,3.930149,378.3866,152.8689
52.067364,7.107567,11339.036,3.44347,386.42706,156.0592
52.062042,7.113143,11329.379,3.73493,389.65353,153.87128
52.05676,7.119388,11323.123,2.8740587,395.97876,157.26978
52.051098,7.1245413,11313.557,4.049638,388.0842,154.74164
52.04534,7.130867,11303.793,3.863223,382.07828,153.93896
52.040257,7.136275,11294.322,4.8104568,384.1956,152.77948
52.035294,7.140983,11285.175,3.750417,375.8711,150.93402
52.030663,7.1476793,11275.672,3.67403,379.98325,152.56592
52.026207,7.15311,11268.224,4.1176043,378.53098,149.00702
52.021164,7.1598506,11262.319,3.692304,373.25848,148.14954
52.017475,7.1660695,11261.543,4.661305,380.0328,149.13104
52.013905,7.171588,11259.056,2.9620194,372.30917,143.36005
