lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.40781,6.342057,8693.5,5.0,400.0,66.73895
50.414917,6.36796,8693.5,5.0,400.0,66.73895
50.41804,6.379184,8697.536,4.1992264,387.27078,63.123657
50.420216,6.3940787,8701.757,4.0664406,386.41766,65.687256
50.422447,6.4078164,8706.212,3.8768227,380.39087,63.360962
50.42499,6.4219313,8712.73,4.6123195,378.78214,64.18347
50.426956,6.435913,8719.598,4.051468,385.9378,61.89099
50.428967,6.4511304,8729.108,4.3965907,370.27054,65.43213
50.4305,6.465632,8737.194,3.4876935,382.3802,70.54422
50.43222,6.4803357,8745.233,3.9572377,388.1357,72.022675
50.43377,6.495563,8754.587,3.5870378,375.65503,72.86035
50.4352,6.509641,8765.427,4.2019386,385.7166,74.756744
50.43587,6.5262218,8774.075,4.5842457,374.26337,74.34476
50.437035,6.5406227,8778.415,4.0696955,383.7823,77.6387
50.438522,6.5564055,8782.415,4.1074305,369.8552,77.44226
50.439476,6.5705075,8783.884,3.9699697,384.30722,74.46124
50.44059,6.5851665,8782.907,4.192258,379.59595,72.00668
50.442574,6.600844,8783.515,4.262707,382.62585,73.88287
50.44434,6.6170783,8786.2295,4.259506,371.25766,73.718445
50.445343,6.6324453,8788.708,4.0323377,373.12387,70.568054
50.446644,6.6478286,8796.016,4.8315744,379.80124,72.06305
50.44776,6.6636004,8808.189,4.4362116,381.1693,71.252014
50.449238,6.6788917,8824.865,4.687835,372.2194,70.60956
50.450623,6.6927476,8848.294,4.101503,375.54312,71.697754
50.45214,6.708676,8872.833,4.3916106,369.7847,73.6915
50.45335,6.7231855,8898.618,5.6182866,372.7146,78.0372
50.45464,6.7379255,8926.137,4.830627,373.95346,75.56067
50.454952,6.7522936,8951.412,3.9410162,379.02008,75.312775
50.455944,6.7679396,8976.188,4.301273,376.6051,77.58957
50.457153,6.784304,9001.02,4.265582,374.89752,79.89102
