lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.81086,7.285732,937.3,5.0,400.0,76.17465
50.81516,7.3133435,937.3,5.0,400.0,76.17465
50.816185,7.3251076,939.52814,3.8416123,386.95526,86.313446
50.816765,7.3412423,943.92883,5.7207174,382.29132,83.85617
50.817505,7.35505,949.3122,5.1836367,380.55643,82.794525
50.81806,7.3691864,956.353,3.5874095,384.63568,80.003204
50.818447,7.385216,965.4592,5.0943537,384.1614,79.417786
50.81913,7.3990407,979.1491,4.992996,389.4788,78.73425
50.819572,7.4128103,992.9002,3.7053936,373.93707,80.51044
50.82054,7.426291,1010.9084,4.6626105,374.62354,84.14191
50.82107,7.4397774,1031.3114,3.5025396,374.954,84.57245
50.821022,7.454504,1055.4933,4.380453,373.92303,82.29529
50.821507,7.4687247,1083.0764,4.8546042,374.49463,83.687195
50.822178,7.4829216,1112.0399,4.7343903,379.77103,83.84235
50.82314,7.4977093,1145.3931,3.7753205,377.59982,85.223145
50.82385,7.511846,1183.7075,3.4322395,374.24463,86.82239
50.82461,7.527103,1225.3263,4.6317353,372.25693,84.09567
50.825104,7.5406246,1267.4441,2.9366932,379.74295,81.771454
50.82527,7.555815,1313.2682,4.701937,375.41174,84.43878
50.82577,7.5691295,1363.0437,3.3693395,375.2898,86.12628
50.82559,7.583091,1411.5651,4.877924,376.3963,89.00723
50.82516,7.5954866,1458.9917,3.7052963,382.23688,89.444214
50.8247,7.608975,1504.2644,4.849056,377.65674,90.55133
50.82433,7.621538,1548.0631,3.6974921,374.6268,95.07562
50.82432,7.6337924,1588.5676,3.2995448,382.13428,96.885284
50.82449,7.6481314,1628.989,3.9322824,381.60983,96.01996
50.82417,7.661007,1666.4431,4.6172123,371.11826,94.424774
50.82413,7.674536,1699.3213,4.2725153,372.77518,89.151184
50.82418,7.6864033,1730.6095,3.4273953,378.94293,85.40637
50.824684,7.699498,1762.3528,4.7901216,380.90717,84.62491
