lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.91158,7.110885,936.3,5.0,400.0,84.245026
50.913383,7.139237,936.3,5.0,400.0,84.245026
50.91306,7.151749,936.9752,4.8920374,379.6079,88.92514
50.913414,7.1666594,936.7846,4.9882746,381.72403,88.062805
50.913517,7.180555,936.7657,4.9639583,380.66644,84.601746
50.91416,7.1958547,939.34186,4.3338103,378.6398,86.2637
50.914482,7.210187,942.0228,4.086383,379.9845,82.84085
50.91469,7.22548,944.74805,3.7024953,387.89062,83.63867
50.914726,7.241328,949.7023,3.7391827,382.1767,84.15427
50.915215,7.2567883,955.1064,3.9464924,378.41782,87.83157
50.91525,7.2725797,962.3739,4.1353855,370.16098,87.62552
50.91507,7.288668,967.4497,4.7136006,385.0538,87.27557
50.9152,7.3032823,971.8754,3.6035151,382.633,85.42984
50.91541,7.319339,975.99695,5.5775623,390.77194,84.45102
50.91574,7.333989,978.968,3.5212083,380.8405,84.00354
50.91597,7.3489833,981.2079,4.9311104,377.232,82.54306
50.916374,7.3644505,979.719,4.502326,385.30243,82.29852
50.917286,7.3798304,979.6251,2.73454,373.1606,80.40274
50.918427,7.3958263,978.4637,3.7989328,376.1703,81.99988
50.91905,7.4115868,975.4716,4.3094473,373.7317,81.31644
50.9198,7.4268746,974.37274,3.858324,382.16635,81.30548
50.92119,7.441453,976.55597,5.966975,387.3689,83.843994
50.922226,7.455473,982.149,3.3434336,375.52847,77.66327
50.923603,7.4695754,989.9778,4.649447,367.89774,74.37134
50.924747,7.4832473,1002.8129,3.998684,375.9295,72.950195
50.9254,7.496959,1018.7108,5.682958,377.74072,72.92624
50.9263,7.5109224,1036.9012,3.423165,371.5511,72.21619
50.927124,7.525012,1058.355,4.344872,379.38425,74.94519
50.92786,7.53863,1081.2856,4.493801,374.16992,75.50461
50.9291,7.5527663,1106.5769,4.4558725,376.63065,80.36014
50.930264,7.5647717,1133.3289,4.4547706,378.82822,78.13275
50.93126,7.577793,1165.2085,4.8838606,373.39993,78.55698
50.932205,7.5915384,1198.2731,4.9395986,373.66605,77.247986
50.933216,7.604242,1233.3767,5.758871,378.99677,77.60153
50.933903,7.6179895,1270.3815,4.3301725,376.3362,75.609375
50.93507,7.6320934,1309.3251,4.2259917,363.95612,79.395874
50.93591,7.645386,1352.0696,4.972158,377.50732,81.07724
50.936646,7.6581507,1393.8733,4.989859,371.79434,81.8891
50.937153,7.6711025,1436.8672,4.571398,372.5385,84.52606
50.937,7.6844807,1478.6428,3.5073876,382.53168,81.53946
50.937225,7.698627,1519.2173,3.5134647,373.96445,85.421936
50.936825,7.7118654,1560.3022,3.3060184,381.19138,86.768005
50.936203,7.7258425,1602.3186,4.776191,381.9226,91.56613
50.936184,7.7394385,1642.4695,3.33136,377.9661,91.258575
50.935104,7.7533555,1682.4775,3.9843025,381.5458,95.503235
50.933853,7.766539,1719.491,4.8289347,382.50433,95.05951
50.932705,7.78043,1757.6868,4.6400614,384.3332,98.61987
