lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.379795,6.345091,8259.2,5.0,400.0,65.74527
50.387188,6.3707814,8259.2,5.0,400.0,65.74527
50.38976,6.3810225,8262.575,3.8609128,390.6205,63.541718
50.392933,6.396072,8268.004,4.3737955,390.22232,69.388245
50.3952,6.410585,8271.766,4.6123233,382.69693,64.651245
50.398228,6.423421,8278.47,5.1770043,376.7038,62.55356
50.40028,6.4344378,8288.287,4.920406,381.8089,62.858643
50.4023,6.4484196,8297.749,4.2618427,378.35394,66.54968
50.404522,6.4619164,8309.95,3.9609318,379.18073,69.56195
50.40663,6.477189,8324.471,5.496403,383.40115,73.92233
50.408607,6.492368,8338.433,4.0689764,384.90875,72.621216
50.410156,6.5079966,8352.708,4.8775935,370.73935,73.56891
50.411304,6.524683,8366.755,4.39933,370.6682,75.78027
50.412094,6.5402503,8379.825,5.3116655,375.60953,80.724304
50.412933,6.555395,8392.581,4.196837,366.47665,81.976715
50.413986,6.5680575,8405.54,4.1896205,370.95267,82.7262
50.41389,6.5830064,8422.076,4.4406404,380.6755,82.07974
50.414513,6.598856,8438.165,4.0679026,362.8581,84.18634
50.414753,6.612319,8457.027,3.8105633,358.86707,87.346375
50.414265,6.6248097,8481.809,4.6122317,379.099,88.41202
50.413383,6.638396,8512.256,5.0625668,386.79776,90.95703
50.412735,6.6523547,8544.722,4.5100045,368.6622,93.82904
50.41223,6.665096,8581.818,4.58674,371.96964,100.000244
50.411224,6.677666,8623.214,4.174619,380.29935,98.17557
50.41048,6.690936,8666.921,4.0582805,374.44812,98.07587
50.40957,6.7045174,8713.045,4.6818423,372.97552,97.0661
50.40873,6.7165904,8761.394,3.928983,378.35513,99.09857
50.40802,6.7286983,8808.558,4.209642,381.6352,97.961
50.407436,6.7417226,8857.517,4.1232553,384.8455,95.53998
50.406986,6.754753,8903.941,3.9228306,378.21448,93.44235
50.406696,6.7676077,8952.373,4.0746408,382.26962,92.598206
50.406803,6.7824316,8997.936,4.388972,378.4193,91.88037
