lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
52.005627,7.098046,10668.0,5.0,400.0,139.31622
51.991978,7.117066,10668.0,5.0,400.0,139.31622
51.986664,7.1248803,10665.972,4.2691355,382.80554,157.74915
51.98187,7.129937,10665.639,3.1226175,390.9524,156.35071
51.977337,7.1351476,10665.42,4.452722,400.33426,156.99841
51.972343,7.1409006,10663.622,3.9771156,392.20038,154.85175
51.96703,7.1460543,10661.159,4.4396663,393.97473,156.55475
51.962025,7.1518426,10659.732,4.0625706,385.37216,158.48608
51.95715,7.1563573,10657.123,3.0511255,382.12717,162.75739
51.951855,7.161104,10655.132,4.752539,378.42642,162.0119
51.94703,7.164016,10652.287,3.162815,387.04935,160.60681
51.941696,7.169412,10651.746,4.372699,371.2241,163.98474
51.93691,7.1747913,10648.918,4.1738443,387.71298,164.55188
51.931328,7.1798573,10647.938,4.920577,380.62314,165.4256
51.926933,7.1848717,10645.954,5.3404603,384.1902,165.07916
51.92271,7.189294,10643.174,4.461035,373.07248,159.31
51.91857,7.1942945,10641.174,4.062334,384.5681,156.03333
51.914642,7.20029,10637.314,4.6516967,378.44418,152.22662
51.910744,7.205071,10633.053,3.9667957,376.77914,153.97424
51.9068,7.2096195,10622.321,3.97097,376.86694,147.77835
51.903336,7.2159367,10613.294,3.8373196,383.06665,150.94052
51.899967,7.222412,10602.649,3.6778002,377.63586,145.28375
51.895786,7.228862,10592.483,2.6405053,385.55695,145.97675
51.892265,7.235536,10579.846,2.6151085,377.24722,145.37842
51.887997,7.243508,10566.727,4.7208347,387.73367,145.13525
51.88397,7.249582,10556.979,3.4737897,366.45673,146.81644
51.879406,7.2564373,10547.077,3.7340775,372.82016,148.10922
51.875145,7.2611976,10537.938,3.928495,382.11987,152.09357
51.870632,7.266765,10533.6455,5.1508455,379.71854,151.19745
51.86671,7.2719646,10533.972,3.749448,375.76678,155.92126
51.862606,7.276975,10536.753,4.76736,362.91272,154.41809
51.859245,7.2821155,10541.903,3.5940967,368.65042,150.67627
51.855816,7.286927,10547.392,3.8256257,374.09457,145.46875
51.85228,7.2919993,10552.726,3.5189261,375.5388,144.65323
51.849052,7.296556,10557.776,3.8690073,369.2098,144.35626
51.845623,7.3036237,10561.154,4.372148,383.65323,145.96649
51.8421,7.310495,10559.482,3.6192856,388.3873,143.46008
51.837963,7.31747,10556.87,3.474914,373.46014,137.61713
51.83417,7.3260927,10550.291,4.03293,374.654,138.62994
51.83051,7.336128,10544.865,3.839042,380.23083,140.72021
51.82707,7.343679,10538.795,4.191171,370.7949,140.59418
51.823284,7.3516364,10533.373,4.387264,371.99884,132.6792
51.8196,7.362105,10530.621,4.943842,379.24066,134.74753
51.816402,7.3709116,10529.583,3.6703954,374.5126,132.25497
51.813583,7.380116,10534.822,3.3978605,368.04514,130.763
51.810455,7.3893642,10546.217,3.875319,372.44254,126.51755
51.80796,7.3989267,10560.1045,4.625354,372.93817,122.59082
51.805824,7.4089603,10579.375,3.146906,375.63632,115.84836
51.803886,7.4201007,10605.303,4.190131,378.3223,114.85556
51.802246,7.4321575,10632.752,4.0970483,375.90433,109.56018
51.800568,7.443944,10668.726,3.6795535,371.69574,109.308716
51.79887,7.4551463,10705.4795,2.8341107,375.02618,105.16733
51.79747,7.4666133,10746.858,3.9374552,371.32925,108.63583
51.79618,7.478145,10790.593,3.6453722,387.7508,105.7587
51.79434,7.489096,10834.99,4.5990067,372.99884,108.04663
51.79266,7.5012045,10878.906,3.8851728,373.2605,110.76514
51.791344,7.5145845,10922.319,5.0613565,382.03354,114.490845
51.789783,7.526817,10962.445,3.977619,387.024,108.96655
51.78837,7.5397005,10998.608,3.1634946,375.82922,108.13733
51.786312,7.552912,11036.277,3.3285127,379.7438,106.996735
51.78415,7.5661097,11077.213,4.0629687,376.54758,108.60809
51.782677,7.578962,11115.37,3.737238,370.60754,106.63904
51.780525,7.5931873,11158.537,3.8813422,386.28802,105.75366
51.778973,7.605902,11204.096,4.947809,368.60767,108.30597
51.777607,7.6185207,11247.86,4.3955116,380.64044,108.129
