lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
50.58085,6.202273,11278.0,5.0,400.0,73.997375
50.58581,6.229473,11278.0,5.0,400.0,73.997375
50.587433,6.242057,11284.314,4.1551437,375.57092,81.52942
50.58886,6.258055,11295.005,4.5384007,382.0898,80.10547
50.59015,6.2725306,11306.126,4.4705977,385.35486,79.98834
50.59107,6.287711,11317.263,4.984898,378.38428,80.17731
50.591873,6.3021555,11330.943,4.4692583,380.63803,80.135864
50.591763,6.316009,11342.279,4.280662,387.4123,81.38428
50.59255,6.3312306,11353.147,3.9630733,383.87527,82.41647
50.593403,6.3459015,11360.497,4.437663,385.18277,83.80643
50.59407,6.360348,11365.922,4.4705048,375.1272,86.2525
50.59435,6.374661,11367.951,4.445127,380.8336,85.001526
50.594833,6.38862,11371.223,4.907212,381.41064,86.161255
50.59568,6.402884,11371.721,3.9758315,383.47104,84.59802
50.595963,6.416519,11371.7,4.9689975,376.94415,87.3461
50.596256,6.4306717,11369.55,4.449605,376.64725,85.48328
50.59601,6.4459076,11369.0205,3.444879,379.37378,85.701294
50.59546,6.462618,11367.629,4.1132917,376.01205,87.37976
50.59526,6.477724,11368.945,4.4111466,394.0657,90.36966
50.59507,6.4939084,11373.608,5.123954,394.12515,93.10498
50.594833,6.5098033,11380.598,4.0684695,381.56705,89.03815
50.59446,6.5267725,11390.697,4.4362826,383.5184,91.71237
50.59486,6.542202,11400.998,3.6491077,383.13135,90.75668
50.594795,6.5576835,11412.035,4.318028,374.02985,88.47403
50.59505,6.5740333,11425.58,5.109971,385.19827,87.02588
50.595673,6.5891714,11439.431,3.966803,380.00378,82.78464
50.596313,6.604657,11452.738,4.381029,387.74374,83.15207
50.597103,6.621359,11469.274,4.023992,388.03064,79.013794
50.59814,6.6385126,11486.154,3.8390284,394.24402,82.18182
50.598892,6.6550817,11504.827,3.568514,376.58002,80.79965
50.599773,6.6709065,11526.099,4.2121964,383.15677,83.153595
50.60078,6.6880074,11545.592,3.6673071,385.87674,81.37265
50.601654,6.704025,11565.241,4.0138717,379.66257,82.92355
50.602547,6.7202144,11584.672,4.565381,374.0432,80.61032
50.60309,6.7381344,11604.707,4.3282175,385.20526,81.8678
50.604557,6.754241,11623.826,4.0386214,372.64673,82.044495
50.60533,6.771129,11645.6455,4.1343474,373.05533,80.38953
50.606174,6.7866387,11664.218,3.184357,387.88452,81.32202
50.606773,6.8030143,11683.292,3.4705074,375.91995,80.901
50.607395,6.8198643,11704.58,3.4826152,378.62476,84.04352
50.607838,6.835209,11726.51,4.9038095,377.93256,81.82446
50.60748,6.8507676,11748.312,4.5855613,382.03217,81.73422
50.607513,6.867368,11769.286,4.7623053,383.52264,86.34735
50.60676,6.8826275,11793.794,4.7443237,376.4342,89.31302
50.606014,6.8971224,11820.14,4.8184958,375.91605,92.22052
50.60528,6.9106317,11845.49,3.4974184,389.85364,96.40683
50.60461,6.924236,11871.056,4.1540527,384.7645,100.2135
50.603664,6.9371448,11898.977,4.2638016,370.4912,100.288574
50.603043,6.950488,11923.362,3.6288023,379.1474,98.69284
50.601456,6.964184,11950.398,4.6414537,372.97598,99.93051
50.60034,6.9774523,11976.851,5.1652155,370.94406,99.46265
50.599655,6.9923077,12003.818,3.5647163,375.54004,99.80417
50.598663,7.007154,12029.793,5.526293,377.9813,100.34253
50.597706,7.021796,12059.078,2.9126225,372.85587,96.20511
50.59671,7.035192,12086.478,4.747946,380.92432,95.34601
50.59511,7.0497146,12114.251,4.612721,373.04865,94.19614
