lat,lon,alt_ft,delta_t_s,gs_kt,heading_deg
51.492332,7.539455,952.7,5.0,400.0,129.41461
51.480907,7.561743,952.7,5.0,400.0,129.41461
51.47628,7.5706854,952.63135,4.290205,388.30927,145.0567
51.471405,7.5807157,953.6063,3.046057,393.26184,147.74289
51.466076,7.5886583,957.58704,3.5606663,399.33102,146.46503
51.460518,7.5962977,962.5584,3.3943818,392.63162,149.81241
51.454758,7.6057677,971.84845,3.8983989,392.58066,147.09668
51.4493,7.6126933,984.2239,3.406786,389.86688,151.6977
51.444366,7.6200233,999.4879,3.9893522,382.01385,153.74622
51.43904,7.6263537,1021.2251,4.2715664,391.39313,148.47409
51.434093,7.6324863,1044.3137,4.4823623,378.28067,155.07678
51.428528,7.639556,1072.2101,3.2504354,380.34216,151.6691
51.42432,7.643119,1102.7584,4.698581,378.74182,150.44354
51.420082,7.6492033,1133.9631,5.031017,381.10797,149.82153
51.416546,7.6571045,1163.5712,4.105828,374.0632,147.40747
51.412823,7.6642394,1192.6492,3.4135084,374.35303,140.4451
51.40909,7.672873,1221.4019,4.81963,374.97226,139.36972
51.40603,7.6816106,1245.6217,3.6750655,372.60217,132.918
51.403316,7.690473,1270.876,4.622597,370.04205,133.01666
51.400326,7.699542,1294.8492,4.189086,374.53928,124.6077
51.397106,7.709255,1316.2197,4.364693,370.09937,122.35852
51.393772,7.7192516,1336.7649,3.3599238,372.76617,121.23694
51.390743,7.730238,1355.2212,4.118993,375.64798,124.54721
51.388187,7.739784,1373.4633,3.8696628,371.113,121.262146
51.385826,7.7503967,1390.9927,4.5069284,376.79865,122.9859
51.38389,7.761582,1409.5603,4.1436286,379.21906,116.12952
51.38144,7.773381,1425.6354,4.0949473,377.6528,114.18414
51.378613,7.7857056,1442.0244,5.463489,372.13858,110.25473
51.37681,7.7967253,1454.1941,4.143978,381.07983,110.065216
51.37515,7.8085527,1464.1943,3.9957304,379.0365,110.67224
51.3721,7.8208985,1475.973,4.14014,375.39374,108.23447
51.369797,7.8327575,1482.1936,3.875086,379.7669,112.12842
51.366745,7.8433676,1489.394,3.4570444,373.0213,110.18924
51.36414,7.85597,1498.041,4.346317,374.84982,117.395874
51.36119,7.866561,1507.362,3.6827016,379.18527,117.11084
51.358006,7.878094,1520.3684,3.6224978,374.7056,122.247406
51.355007,7.888092,1535.6443,4.629544,383.88083,124.43335
51.352146,7.89857,1552.7296,4.336848,372.2916,126.329895
51.349438,7.9069886,1573.4271,4.1337132,368.72858,127.86975
51.346615,7.9158974,1596.0193,3.6142788,377.74997,128.34888
51.343662,7.9255533,1621.9819,3.629683,380.90305,128.88779
51.34067,7.934762,1650.3325,3.8197603,388.26144,129.23752
51.33713,7.9448013,1678.6238,3.5287652,355.56296,131.27383
51.333805,7.952748,1708.4681,4.18654,382.57425,133.62067
51.330475,7.962275,1737.779,4.58393,379.1978,132.82974
51.32735,7.971732,1766.6484,3.733407,379.25977,131.17957
51.324368,7.9811683,1794.1333,3.4668226,376.3468,127.40384
51.32121,7.990927,1822.0415,4.868146,376.32275,128.30551
51.31825,8.001332,1847.6515,4.351805,369.43912,128.21063
51.31531,8.010814,1873.9592,3.864472,367.24548,121.91998
51.312622,8.022041,1899.5371,3.7353194,375.916,119.837006
51.31014,8.032368,1921.4458,3.9304771,373.05865,121.75891
51.30726,8.0430765,1941.8923,4.4957047,379.80008,117.017456
51.305134,8.054086,1961.1716,4.5573816,374.69525,117.888
51.302494,8.064656,1978.45,4.0734553,373.43658,116.706024
51.300446,8.075327,1998.0205,3.611021,363.54367,120.141785
51.297783,8.085951,2021.303,3.99424,380.23007,118.20325
51.29537,8.096106,2047.3462,4.284667,382.66833,118.75372
51.29213,8.105549,2078.876,4.9212513,386.24548,119.33035
51.288807,8.116057,2112.9927,3.7672315,370.24057,121.74036
51.285854,8.124136,2152.4844,4.1788793,370.71448,125.962036
51.28212,8.134413,2196.0305,4.3216143,383.3273,126.43735
51.27865,8.143693,2237.6194,4.3112106,373.92395,128.97913
51.275433,8.153612,2278.163,4.2618756,380.38293,132.07379
51.27176,8.162844,2317.0605,4.7451997,374.40857,128.88403
51.269024,8.173557,2357.764,4.547374,369.22552,128.36658
51.26648,8.183993,2392.4626,3.931158,372.34195,122.31171
51.26457,8.194722,2429.0742,3.7536647,381.52945,119.7554
